numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z
5,[ 3 21 47 18  3],[0.140625 0.984375 2.203125 0.84375  0.140625],[ 0  0  0 -2  0],[ 0.          0.          0.         -0.23414086  0.        ],[2338  495  865  293 1757],[ 0.          0.92382812 -0.7578125  -0.60742188 -0.0625    ],[0.140625   0.34179688 2.06835938 0.5859375  0.12695312],[0. 0. 0. 0. 0.]
5,[ 3 21 47  3 17],[0.140625 0.984375 2.203125 0.140625 0.796875],[ 0  0  0  2 -2],[ 0.          0.          0.          0.23414086 -0.23414086],[1624  528  965 1229  578],[-0.05664062  0.92382812 -0.68945312  0.01367188 -0.59765625],[0.12890625 0.34179688 2.09375    0.140625   0.52734375],[0. 0. 0. 0. 0.]
8,[44 47  4 51 17 44  4 51],[2.0625   2.203125 0.1875   2.390625 0.796875 2.0625   0.1875   2.390625],[ 0  0  4  5 -2  0  4  5],"[ 0.          0.          0.46828172  0.58535215 -0.23414086  0.
  0.46828172  0.58535215]",[ 874 1011 1344   42  542  678 1301   40],"[-0.06445312 -0.68945312  0.01171875  1.12109375 -0.59765625  0.58007812
  0.08203125  0.22460938]","[2.0625     2.09375    0.1875     2.11132812 0.52734375 1.98046875
 0.16796875 2.38085938]",[0. 0. 0. 0. 0. 0. 0. 0.]
10,[ 5 21 47  4 51  8 16  5  4  8],"[0.234375 0.984375 2.203125 0.1875   2.390625 0.375    0.75     0.234375
 0.1875   0.375   ]",[ 0  0  0  4  4  8 -2  0  4  8],"[ 0.          0.          0.          0.46828172  0.46828172  0.93656344
 -0.23414086  0.          0.46828172  0.93656344]",[1249  506  938 2005   42   61  594 1210 1907   53],"[ 0.0078125   0.92382812 -0.68945312  0.06445312  0.89648438  0.1171875
 -0.5859375  -0.07421875 -0.00585938 -0.0234375 ]","[0.234375   0.34179688 2.09375    0.17578125 2.21679688 0.35546875
 0.46875    0.22265625 0.1875     0.375     ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,[ 5 43 47 16  5 16],[0.234375 2.015625 2.203125 0.75     0.234375 0.75    ],[ 0  0  0 -1  0 -1],[ 0.          0.          0.         -0.11707043  0.         -0.11707043],[1152  671  969  586 1040  517],[-0.08007812  0.         -0.7578125  -0.5390625   0.02929688  0.703125  ],[0.22070312 2.015625   2.06835938 0.52148438 0.23242188 0.26171875],[0. 0. 0. 0. 0. 0.]
2,[ 4 47],[0.1875   2.203125],[0 0],[0. 0.],[1852  968],[-0.02929688 -0.7578125 ],[0.18554688 2.06835938],[0. 0.]
3,[43 47 43],[2.015625 2.203125 2.015625],[0 0 0],[0. 0. 0.],[759 963 574],[ 0.         -0.7578125  -0.75585938],[2.015625   2.06835938 1.86914062],[0. 0. 0.]
6,[ 3 43 47 16  3 16],[0.140625 2.015625 2.203125 0.75     0.140625 0.75    ],[0 0 0 1 0 1],[0.         0.         0.         0.11707043 0.         0.11707043],[1086  774 1011  530 1022  504],[-0.0703125  0.        -0.7578125  0.703125   0.03125   -0.5390625],[0.12109375 2.015625   2.06835938 0.26171875 0.13671875 0.52148438],[0. 0. 0. 0. 0. 0.]
4,[ 3 43 47 16],[0.140625 2.015625 2.203125 0.75    ],[0 0 0 2],[0.         0.         0.         0.23414086],[1710  789  941  295],[-0.04492188  0.         -0.7578125  -0.75      ],[0.1328125  2.015625   2.06835938 0.        ],[0. 0. 0. 0.]
6,[ 3 43 47 16  4  4],[0.140625 2.015625 2.203125 0.75     0.1875   0.1875  ],[ 0  0  0  2 -2 -2],[ 0.          0.          0.          0.23414086 -0.23414086 -0.23414086],[1815  709  921  369 1132  904],[-0.02734375  0.0625     -0.7578125  -0.5625     -0.01171875  0.05859375],[0.13867188 2.015625   2.06835938 0.49609375 0.1875     0.17773438],[0. 0. 0. 0. 0. 0.]
5,[ 3 43 47 16 16],[0.140625 2.015625 2.203125 0.75     0.75    ],[0 0 0 3 3],[0.         0.         0.         0.35121129 0.35121129],[1714  720  903  289  285],[-0.03515625  0.         -0.7578125   0.6796875  -0.5625    ],[0.13671875 2.015625   2.06835938 0.31640625 0.49609375],[0. 0. 0. 0. 0.]
4,[ 3 17  3 17],[0.140625 0.796875 0.140625 0.796875],[ 0  3 -1  3],[ 0.          0.35121129 -0.11707043  0.35121129],[1945  338 2046  323],[-0.02148438 -0.62304688 -0.01367188  0.671875  ],[0.13867188 0.49804688 0.140625   0.42773438],[0. 0. 0. 0.]
5,[ 3 47 16  3  3],[0.140625 2.203125 0.75     0.140625 0.140625],[ 0  0  2 -1 -1],[ 0.          0.          0.23414086 -0.11707043 -0.11707043],[2192  788  295 2170 1554],[ 0.00976562 -0.7578125  -0.65625     0.00390625 -0.04882812],[0.140625   2.06835938 0.36328125 0.140625   0.1328125 ],[0. 0. 0. 0. 0.]
6,[47  3 17  3  3 17],[2.203125 0.140625 0.796875 0.140625 0.140625 0.796875],[ 0  2  2 -1  2  2],[ 0.          0.23414086  0.23414086 -0.11707043  0.23414086  0.23414086],[ 782  776  281 2467  673  200],[-0.7578125   0.01757812 -0.69726562 -0.0390625   0.07421875  0.62304688],[2.06835938 0.13867188 0.38671875 0.13476562 0.11914062 0.49804688],[0. 0. 0. 0. 0. 0.]
6,[ 3 47  4  9  4  9],[0.140625 2.203125 0.1875   0.421875 0.1875   0.421875],[0 0 4 6 4 6],[0.         0.         0.46828172 0.70242258 0.46828172 0.70242258],[2166  780 2178   39 2045   33],[-0.04492188 -0.7578125   0.0234375   0.0390625   0.09375     0.19726562],[0.1328125  2.06835938 0.18554688 0.41992188 0.16210938 0.37304688],[0. 0. 0. 0. 0. 0.]
5,[ 3 47 18  8  8],[0.140625 2.203125 0.84375  0.375    0.375   ],[0 0 1 4 4],[0.         0.         0.11707043 0.46828172 0.46828172],[2061  865  516  125   91],[-0.0390625  -0.7578125  -0.71289062  0.10546875 -0.03515625],[0.13476562 2.06835938 0.453125   0.359375   0.37304688],[0. 0. 0. 0. 0.]
3,[ 3 47 18],[0.140625 2.203125 0.84375 ],[0 0 1],[0.         0.         0.11707043],[1802  858  730],[-0.03515625 -0.7578125  -0.79101562],[0.13671875 2.06835938 0.29296875],[0. 0. 0.]
2,[ 3 47],[0.140625 2.203125],[0 0],[0. 0.],[2019  899],[-0.03125   -0.7578125],[0.13671875 2.06835938],[0. 0.]
5,[ 3  5 47 10 10],[0.140625 0.234375 2.203125 0.46875  0.46875 ],[ 0  0  0 -3 -3],[ 0.          0.          0.         -0.35121129 -0.35121129],[2491 1758  931   19   19],[-0.03125     0.015625   -0.7578125   0.08789062  0.33789062],[0.13671875 0.234375   2.06835938 0.4609375  0.32617188],[0. 0. 0. 0. 0.]
3,[ 3 47  3],[0.140625 2.203125 0.140625],[0 0 0],[0. 0. 0.],[987 911 752],[-0.02148438 -0.7578125   0.03515625],[0.13867188 2.06835938 0.13671875],[0. 0. 0.]
6,[ 3 47 19  3 47 19],[0.140625 2.203125 0.890625 0.140625 2.203125 0.890625],[0 0 1 0 0 1],[0.         0.         0.11707043 0.         0.         0.11707043],[1188  885  238 1118  630  231],[-0.00390625 -0.7578125  -0.75195312 -0.08398438 -1.515625    0.75195312],[0.140625   2.06835938 0.47851562 0.11328125 1.59960938 0.47851562],[0. 0. 0. 0. 0. 0.]
7,[ 3 18  4 26  3  4 26],[0.140625 0.84375  0.1875   1.21875  0.140625 0.1875   1.21875 ],[ 0  1 -3 -3  0 -3 -3],"[ 0.          0.11707043 -0.35121129 -0.35121129  0.         -0.35121129
 -0.35121129]",[1354  351  763   45 1026  667   39],"[-0.00976562 -0.73828125  0.          0.         -0.0703125   0.0703125
  0.49609375]","[0.140625   0.40820312 0.1875     1.21875    0.12109375 0.17382812
 1.11328125]",[0. 0. 0. 0. 0. 0. 0.]
4,[47 19  3 19],[2.203125 0.890625 0.140625 0.890625],[ 0  1 -2  1],[ 0.          0.11707043 -0.23414086  0.11707043],[ 972  406 1395  318],[-0.7578125  -0.72460938  0.00390625  0.72460938],[2.06835938 0.51953125 0.140625   0.51953125],[0. 0. 0. 0.]
5,[ 3 47  3  3  3],[0.140625 2.203125 0.140625 0.140625 0.140625],[ 0  0 -1  0 -1],[ 0.          0.         -0.11707043  0.         -0.11707043],[2045  965 2583 1870 1845],[-0.00976562 -0.7578125  -0.00390625 -0.08398438 -0.08398438],[0.140625   2.06835938 0.140625   0.11328125 0.11328125],[0. 0. 0. 0. 0.]
1,[47],[2.203125],[0],[0.],[1089],[-0.68945312],[2.09375],[0.]
5,[47  4  6  4  6],[2.203125 0.1875   0.28125  0.1875   0.28125 ],[0 4 8 4 8],[0.         0.46828172 0.93656344 0.46828172 0.93656344],[1182 1008   54  971   49],[-0.68945312  0.0234375   0.0625      0.09375     0.16796875],[2.09375    0.18554688 0.27539062 0.16210938 0.2265625 ],[0. 0. 0. 0. 0.]
3,[43  4  4],[2.015625 0.1875   0.1875  ],[0 3 3],[0.         0.35121129 0.35121129],[1019  670  574],[-0.12695312  0.08789062  0.01757812],[2.01171875 0.16601562 0.1875    ],[0. 0. 0.]
3,[43  4  4],[2.015625 0.1875   0.1875  ],[0 1 1],[0.         0.11707043 0.11707043],[1495 1139 1001],[-0.12695312  0.08789062  0.01171875],[2.01171875 0.16601562 0.1875    ],[0. 0. 0.]
4,[43  5 18  5],[2.015625 0.234375 0.84375  0.234375],[ 0  1 -1  1],[ 0.          0.11707043 -0.11707043  0.11707043],[1529 1003  550  834],[-0.12695312  0.0078125  -0.71289062  0.10351562],[2.01171875 0.234375   0.453125   0.2109375 ],[0. 0. 0. 0.]
5,[43  5 19  5 19],[2.015625 0.234375 0.890625 0.234375 0.890625],[ 0  2 -1  2 -1],[ 0.          0.23414086 -0.11707043  0.23414086 -0.11707043],[1174 1926  261 1846  241],[-0.0625      0.         -0.75195312  0.09570312  0.72460938],[2.015625   0.234375   0.47851562 0.21484375 0.51953125],[0. 0. 0. 0. 0.]
